No;Komentar
136;misalnya suaminya ganti pak bambang merk sambel nya berubah jadi sambel bu bambang
137;bu rudi salah satu penggemar sambal bawangnya ibu enak rasanya berubah bertahun br kali lihat video ibu ternyata madiun nggeh bu hihi sukses bu rudi jadi kangen kampung halaman
138;surabaya bu rudy jakarta bu nanik samasama madiun mantap bu
139;sumpah sambel enak bnget
140;madiun hadir
141;doyanan istriku mah cemen doyan sambel pedas banget
142;bela belain pesan surabaya merasakan sambal bu rudi rasanya ttp nikmatseperti pertama kali akuncobain tahun skr endossss
143;kerennn buu semoga nyontoh kerja kerasnya
144;bu bagus pembli hargai orag pembli membwa rejeki nmya manusiaya gtur masalah rejeki ibu rudi bener bwrhasil citaya usaha bersail amiin
145;mk rasa sambal bu rudy bangalex
146;iyalah masakan cina enak asli rasa alias goblok sorry realituly
147;mantap
148;tulungagung hadir
149;sambal favorit nih kerabat surabaya minta nitip beli
150;sambalnya enakkkkkkkkkk
151;wih tulungagung
152;jowone hilang wkkkk
153;ibu ku
154;setuju banget terimakasih bu rudy ilmunya jadi semangat unt
155;sambelmu muantab bu
156;bu minta alamat toko trimks
157;kasih alamat sby
158;nenek
159;sukses mami rudy
160;allah lihat bu lany jadi inge bude logat logatnya suroboyan heheheh
161;sambal bu rudy emang enak banget tiga nya udang kering nya juara banget lengkap rasanya surabaya kota pahlawan membawa sambel ikonik
162;tulung agung masuk bu rudy kota cethe
163;sambel terenak ketagihan beli nya jauh banget
164;hidungnya hidung hoky bu semoga hoky ibu
165;wahh keren ibu menghargai tamu nya beda yah ngamuk tamu saudi hahahaah
166;salut bu rudy
167;biarpun orang china untung rendah hati dibesarkan orang jawa
168;tiba” teringat bang alex ekwkwk
169;salam kota gadis
171;sambal nya surabaya indomaret alfamaret jakarta dijual
172;tokopedia bukalapak banyaak
173;sambel omongin bang alex
174;orang tiong hoa sukses rata rata usaha toko ajarin mandiri ortunya diajari mempersiapkan masa depannya nyerah hari jadi sukses amien berharap noracis tolerance komenjelekbocah
175;aminnnn
176;bu sambel bawang mu nikmat tiada tara” dimakan pakai nasi enak banget rasanya astagaaaaaa
177;mindset nya bagus jadi pedoman berbisnis
178;alamatnya bu rudi
179;sambel mak yy enak cuy
180;suee taunya mhank alex gara gara akm pedas kaya sambel bu rudi
181;sih dgar taon surabaya
182;pelayanannya kurang ramah bu mohon diganti baru karyawannya
183;suka bu rudy menghargai pembeli kadang pemilik usaha lihat penampilan terus dicuekin jawabnya judes beli ngemis minta²
184;rata keturunan tioghoa ajarkan kerja keras salut luarbiasa
185;bu rudi masakane wenak
186;madiun seusia mbah
187;sambelnya enak
188;cinta kerjaan kendala sebesar apapun tetap senang benar pegang prinsip rejeki orang mengatur
189;mantepppp buk
